Status,Hari,Total
Tetap,22,3529000
Tetap,22,3300000
Tetap,22,2725000
Tetap,20,2500000
Tetap,21,2550000
Tetap,22,2813000
Tetap,22,2813000
Tetap,23,2850000
Tetap,23,2850000
Tetap,22,2813000
Tetap,22,2825000
Tetap,24,2900000
Tetap,24,3100000
Tetap,20,2160000
Tetap,18,2000000
Tetap,20,2200000
Tetap,22,2560000
Tetap,25,3200000
Tetap,23,2800000
Tetap,19,2050000
Tetap,22,2560000
Tetap,20,2150000
Tetap,22,2500000
Tetap,22,2800000
Tetap,25,3560000
Tetap,20,2520000
Tetap,21,2700000
Tetap,21,2750000
Tetap,20,2600000
Tetap,20,2600000
Tetap,20,2520000
Tetap,20,2520000
Kontrak,25,2200000
Kontrak,20,1800000
Kontrak,20,1850000
Kontrak,20,1800000
Kontrak,19,1750000
Kontrak,18,1800000
Kontrak,18,1836000
Kontrak,18,1850000
Kontrak,18,1830000
Kontrak,25,2200000
Kontrak,25,2250000
Kontrak,22,2100000
Kontrak,18,1750000
Kontrak,20,1800000
Kontrak,20,1830000
Kontrak,18,1710000
Kontrak,19,1750000
Kontrak,20,1800000
